Bridge_ID,Age (years),Length (m),Width (m),Height (m),Traffic_Volume (vehicles/day),Weather_Conditions,Water_Flow_Rate (m³/s),Stress (MPa),Strain (%),Tensile_Strength (MPa),Rainfall (mm),Bridge_Design,Humidity (%),Risk_Level
34,49,56.43564356,5.148514851,10.2970297,132.6732673,Cloudy,16.50165017,0.330033003,0.0330033,202.640264,1.650165017,Arch,0.330033003,Low
35,30,56.63066307,5.153015302,10.3060306,133.6633663,Windy,17.00170017,0.340034003,0.0340034,202.720272,1.700170017,Beam,0.340034003,Low
36,30,56.82568257,5.157515752,10.3150315,134.6534653,Rainy,17.50175018,0.350035004,0.0350035,202.80028,1.750175018,Truss,0.350035004,Low
37,3,57.02070207,5.162016202,10.3240324,135.6435644,Sunny,18.00180018,0.360036004,0.0360036,202.880288,1.800180018,Arch,0.360036004,Low
38,38,57.21572157,5.166516652,10.3330333,136.6336634,Snowy,18.50185019,0.370037004,0.0370037,202.960296,1.850185019,Beam,0.370037004,Low
39,25,57.41074107,5.171017102,10.3420342,137.6237624,Cloudy,19.00190019,0.380038004,0.0380038,203.040304,1.900190019,Truss,0.380038004,Low
40,47,57.60576058,5.175517552,10.3510351,138.6138614,Windy,19.5019502,0.390039004,0.0390039,203.120312,1.95019502,Arch,0.390039004,Low
41,11,57.80078008,5.180018002,10.360036,139.6039604,Rainy,20.0020002,0.400040004,0.040004,203.20032,2.00020002,Beam,0.400040004,Low
42,39,57.99579958,5.184518452,10.3690369,140.5940594,Sunny,20.50205021,0.410041004,0.0410041,203.280328,2.050205021,Truss,0.410041004,Low
43,38,58.19081908,5.189018902,10.3780378,141.5841584,Snowy,21.00210021,0.420042004,0.0420042,203.360336,2.100210021,Arch,0.420042004,Low
44,42,58.38583858,5.193519352,10.3870387,142.5742574,Cloudy,21.50215022,0.430043004,0.0430043,203.440344,2.150215022,Beam,0.430043004,Low
45,12,58.58085809,5.198019802,10.3960396,143.5643564,Windy,22.00220022,0.440044004,0.0440044,203.520352,2.200220022,Truss,0.440044004,Low
46,17,58.77587759,5.202520252,10.4050405,144.5544554,Rainy,22.50225023,0.450045005,0.0450045,203.60036,2.250225023,Arch,0.450045005,Low
47,18,58.97089709,5.207020702,10.4140414,145.5445545,Sunny,23.00230023,0.460046005,0.0460046,203.680368,2.300230023,Beam,0.460046005,Low
48,8,59.16591659,5.211521152,10.4230423,146.5346535,Snowy,23.50235024,0.470047005,0.0470047,203.760376,2.350235024,Truss,0.470047005,Low
49,30,59.36093609,5.216021602,10.4320432,147.5247525,Cloudy,24.00240024,0.480048005,0.0480048,203.840384,2.400240024,Arch,0.480048005,Low
50,27,59.5559556,5.220522052,10.4410441,148.5148515,Windy,24.50245025,0.490049005,0.0490049,203.920392,2.450245025,Beam,0.490049005,Low
51,3,59.7509751,5.225022502,10.450045,149.5049505,Rainy,25.00250025,0.500050005,0.050005001,204.0004,2.500250025,Truss,0.500050005,Low
52,43,59.9459946,5.229522952,10.4590459,150.4950495,Sunny,25.50255026,0.510051005,0.051005101,204.080408,2.550255026,Arch,0.510051005,Low
53,36,60.1410141,5.234023402,10.4680468,151.4851485,Snowy,26.00260026,0.520052005,0.052005201,204.160416,2.600260026,Beam,0.520052005,Low
54,29,60.3360336,5.238523852,10.4770477,152.4752475,Cloudy,26.50265027,0.530053005,0.053005301,204.240424,2.650265027,Truss,0.530053005,Low
55,48,60.53105311,5.243024302,10.4860486,153.4653465,Windy,27.00270027,0.540054005,0.054005401,204.320432,2.700270027,Arch,0.540054005,Low
56,5,60.72607261,5.247524752,10.4950495,154.4554455,Rainy,27.50275028,0.550055006,0.055005501,204.40044,2.750275028,Beam,0.550055006,Low
57,39,60.92109211,5.252025203,10.50405041,155.4455446,Sunny,28.00280028,0.560056006,0.056005601,204.480448,2.800280028,Truss,0.560056006,Low
58,20,61.11611161,5.256525653,10.51305131,156.4356436,Snowy,28.50285029,0.570057006,0.057005701,204.560456,2.850285029,Arch,0.570057006,Low
59,36,61.31113111,5.261026103,10.52205221,157.4257426,Cloudy,29.00290029,0.580058006,0.058005801,204.640464,2.900290029,Beam,0.580058006,Low
60,18,61.50615062,5.265526553,10.53105311,158.4158416,Windy,29.5029503,0.590059006,0.059005901,204.720472,2.95029503,Truss,0.590059006,Low
61,44,61.70117012,5.270027003,10.54005401,159.4059406,Rainy,30.0030003,0.600060006,0.060006001,204.80048,3.00030003,Arch,0.600060006,Low
62,16,61.89618962,5.274527453,10.54905491,160.3960396,Sunny,30.50305031,0.610061006,0.061006101,204.880488,3.050305031,Beam,0.610061006,Low
63,10,62.09120912,5.279027903,10.55805581,161.3861386,Snowy,31.00310031,0.620062006,0.062006201,204.960496,3.100310031,Truss,0.620062006,Low
64,16,62.28622862,5.283528353,10.56705671,162.3762376,Cloudy,31.50315032,0.630063006,0.063006301,205.0405041,3.150315032,Arch,0.630063006,Low
65,4,62.48124812,5.288028803,10.57605761,163.3663366,Windy,32.00320032,0.640064006,0.064006401,205.1205121,3.200320032,Beam,0.640064006,Low
66,1,62.67626763,5.292529253,10.58505851,164.3564356,Rainy,32.50325033,0.650065007,0.065006501,205.2005201,3.250325033,Truss,0.650065007,Low
67,37,62.87128713,5.297029703,10.59405941,165.3465347,Sunny,33.00330033,0.660066007,0.066006601,205.2805281,3.300330033,Arch,0.660066007,Low
68,4,63.06630663,5.301530153,10.60306031,166.3366337,Snowy,33.50335034,0.670067007,0.067006701,205.3605361,3.350335034,Beam,0.670067007,Low
69,23,63.26132613,5.306030603,10.61206121,167.3267327,Cloudy,34.00340034,0.680068007,0.068006801,205.4405441,3.400340034,Truss,0.680068007,Low
70,23,63.45634563,5.310531053,10.62106211,168.3168317,Windy,34.50345035,0.690069007,0.069006901,205.5205521,3.450345035,Arch,0.690069007,Low
71,36,63.65136514,5.315031503,10.63006301,169.3069307,Rainy,35.00350035,0.700070007,0.070007001,205.6005601,3.500350035,Beam,0.700070007,Low
72,22,63.84638464,5.319531953,10.63906391,170.2970297,Sunny,35.50355036,0.710071007,0.071007101,205.6805681,3.550355036,Truss,0.710071007,Low
73,21,64.04140414,5.324032403,10.64806481,171.2871287,Snowy,36.00360036,0.720072007,0.072007201,205.7605761,3.600360036,Arch,0.720072007,Low
74,12,64.23642364,5.328532853,10.65706571,172.2772277,Cloudy,36.50365037,0.730073007,0.073007301,205.8405841,3.650365037,Beam,0.730073007,Low
75,34,64.43144314,5.333033303,10.66606661,173.2673267,Windy,37.00370037,0.740074007,0.074007401,205.9205921,3.700370037,Truss,0.740074007,Low
76,20,64.62646265,5.337533753,10.67506751,174.2574257,Rainy,37.50375038,0.750075008,0.075007501,206.0006001,3.750375038,Arch,0.750075008,Low
77,37,64.82148215,5.342034203,10.68406841,175.2475248,Sunny,38.00380038,0.760076008,0.076007601,206.0806081,3.800380038,Beam,0.760076008,Low
78,24,65.01650165,5.346534653,10.69306931,176.2376238,Snowy,38.50385039,0.770077008,0.077007701,206.1606161,3.850385039,Truss,0.770077008,Low
79,1,65.21152115,5.351035104,10.70207021,177.2277228,Cloudy,39.00390039,0.780078008,0.078007801,206.2406241,3.900390039,Arch,0.780078008,Low
80,18,65.40654065,5.355535554,10.71107111,178.2178218,Windy,39.5039504,0.790079008,0.079007901,206.3206321,3.95039504,Beam,0.790079008,Low
81,19,65.60156016,5.360036004,10.72007201,179.2079208,Rainy,40.0040004,0.800080008,0.080008001,206.4006401,4.00040004,Truss,0.800080008,Low
82,32,65.79657966,5.364536454,10.72907291,180.1980198,Sunny,40.50405041,0.810081008,0.081008101,206.4806481,4.050405041,Arch,0.810081008,Low
83,10,65.99159916,5.369036904,10.73807381,181.1881188,Snowy,41.00410041,0.820082008,0.082008201,206.5606561,4.100410041,Beam,0.820082008,Low
84,16,66.18661866,5.373537354,10.74707471,182.1782178,Cloudy,41.50415042,0.830083008,0.083008301,206.6406641,4.150415042,Truss,0.830083008,Low
85,21,66.38163816,5.378037804,10.75607561,183.1683168,Windy,42.00420042,0.840084008,0.084008401,206.7206721,4.200420042,Arch,0.840084008,Low
86,25,66.57665767,5.382538254,10.76507651,184.1584158,Rainy,42.50425043,0.850085009,0.085008501,206.8006801,4.250425043,Beam,0.850085009,Low
87,28,66.77167717,5.387038704,10.77407741,185.1485149,Sunny,43.00430043,0.860086009,0.086008601,206.8806881,4.300430043,Truss,0.860086009,Low
88,32,66.96669667,5.391539154,10.78307831,186.1386139,Snowy,43.50435044,0.870087009,0.087008701,206.9606961,4.350435044,Arch,0.870087009,Low
89,14,67.16171617,5.396039604,10.79207921,187.1287129,Cloudy,44.00440044,0.880088009,0.088008801,207.0407041,4.400440044,Beam,0.880088009,Low
90,26,67.35673567,5.400540054,10.80108011,188.1188119,Windy,44.50445045,0.890089009,0.089008901,207.1207121,4.450445045,Truss,0.890089009,Low
91,31,67.55175518,5.405040504,10.81008101,189.1089109,Rainy,45.00450045,0.900090009,0.090009001,207.2007201,4.500450045,Arch,0.900090009,Low
92,44,67.74677468,5.409540954,10.81908191,190.0990099,Sunny,45.50455046,0.910091009,0.091009101,207.2807281,4.550455046,Beam,0.910091009,Low
93,47,67.94179418,5.414041404,10.82808281,191.0891089,Snowy,46.00460046,0.920092009,0.092009201,207.3607361,4.600460046,Truss,0.920092009,Low
94,28,68.13681368,5.418541854,10.83708371,192.0792079,Cloudy,46.50465047,0.930093009,0.093009301,207.4407441,4.650465047,Arch,0.930093009,Low
95,33,68.33183318,5.423042304,10.84608461,193.0693069,Windy,47.00470047,0.940094009,0.094009401,207.5207521,4.700470047,Beam,0.940094009,Low
96,48,68.52685269,5.427542754,10.85508551,194.0594059,Rainy,47.50475048,0.95009501,0.095009501,207.6007601,4.750475048,Truss,0.95009501,Low
97,41,68.72187219,5.432043204,10.86408641,195.049505,Sunny,48.00480048,0.96009601,0.096009601,207.6807681,4.800480048,Arch,0.96009601,Low
98,14,68.91689169,5.436543654,10.87308731,196.039604,Snowy,48.50485049,0.97009701,0.097009701,207.7607761,4.850485049,Beam,0.97009701,Low
99,0,69.11191119,5.441044104,10.88208821,197.029703,Cloudy,49.00490049,0.98009801,0.098009801,207.8407841,4.900490049,Truss,0.98009801,Low
100,35,69.30693069,5.445544554,10.89108911,198.019802,Windy,49.5049505,0.99009901,0.099009901,207.9207921,4.95049505,Arch,0.99009901,Low
101,32,69.5019502,5.450045005,10.90009001,199.009901,Rainy,50.0050005,1.00010001,0.100010001,208.0008001,5.00050005,Beam,1.00010001,Low
102,9,69.6969697,5.454545455,10.90909091,200,Sunny,50.50505051,1.01010101,0.101010101,208.0808081,5.050505051,Truss,1.01010101,Low
103,11,69.8919892,5.459045905,10.91809181,200.990099,Snowy,51.00510051,1.02010201,0.102010201,208.1608161,5.100510051,Arch,1.02010201,Low
104,22,70.0870087,5.463546355,10.92709271,201.980198,Cloudy,51.50515052,1.03010301,0.103010301,208.2408241,5.150515052,Beam,1.03010301,Low
105,32,70.2820282,5.468046805,10.93609361,202.970297,Windy,52.00520052,1.04010401,0.104010401,208.3208321,5.200520052,Truss,1.04010401,Low
106,15,70.4770477,5.472547255,10.94509451,203.960396,Rainy,52.50525053,1.050105011,0.105010501,208.4008401,5.250525053,Arch,1.050105011,Low
107,44,70.67206721,5.477047705,10.95409541,204.950495,Sunny,53.00530053,1.060106011,0.106010601,208.4808481,5.300530053,Beam,1.060106011,Low
108,10,70.86708671,5.481548155,10.96309631,205.9405941,Snowy,53.50535054,1.070107011,0.107010701,208.5608561,5.350535054,Truss,1.070107011,Low
109,19,71.06210621,5.486048605,10.97209721,206.9306931,Cloudy,54.00540054,1.080108011,0.108010801,208.6408641,5.400540054,Arch,1.080108011,Low
110,3,71.25712571,5.490549055,10.98109811,207.9207921,Windy,54.50545055,1.090109011,0.109010901,208.7208721,5.450545055,Beam,1.090109011,Low
111,16,71.45214521,5.495049505,10.99009901,208.9108911,Rainy,55.00550055,1.100110011,0.110011001,208.8008801,5.500550055,Truss,1.100110011,Low
112,36,71.64716472,5.499549955,10.99909991,209.9009901,Sunny,55.50555056,1.110111011,0.111011101,208.8808881,5.550555056,Arch,1.110111011,Low
113,25,71.84218422,5.504050405,11.00810081,210.8910891,Snowy,56.00560056,1.120112011,0.112011201,208.9608961,5.600560056,Beam,1.120112011,Low
114,6,72.03720372,5.508550855,11.01710171,211.8811881,Cloudy,56.50565057,1.130113011,0.113011301,209.0409041,5.650565057,Truss,1.130113011,Low
115,48,72.23222322,5.513051305,11.02610261,212.8712871,Windy,57.00570057,1.140114011,0.114011401,209.1209121,5.700570057,Arch,1.140114011,Low
116,17,72.42724272,5.517551755,11.03510351,213.8613861,Rainy,57.50575058,1.150115012,0.115011501,209.2009201,5.750575058,Beam,1.150115012,Low
117,0,72.62226223,5.522052205,11.04410441,214.8514851,Sunny,58.00580058,1.160116012,0.116011601,209.2809281,5.800580058,Truss,1.160116012,Low
118,24,72.81728173,5.526552655,11.05310531,215.8415842,Snowy,58.50585059,1.170117012,0.117011701,209.3609361,5.850585059,Arch,1.170117012,Low
119,49,73.01230123,5.531053105,11.06210621,216.8316832,Cloudy,59.00590059,1.180118012,0.118011801,209.4409441,5.900590059,Beam,1.180118012,Low
120,18,73.20732073,5.535553555,11.07110711,217.8217822,Windy,59.5059506,1.190119012,0.119011901,209.5209521,5.95059506,Truss,1.190119012,Low
121,49,73.40234023,5.540054005,11.08010801,218.8118812,Rainy,60.0060006,1.200120012,0.120012001,209.6009601,6.00060006,Arch,1.200120012,Low
122,35,73.59735974,5.544554455,11.08910891,219.8019802,Sunny,60.50605061,1.210121012,0.121012101,209.6809681,6.050605061,Beam,1.210121012,Low
123,12,73.79237924,5.549054905,11.09810981,220.7920792,Snowy,61.00610061,1.220122012,0.122012201,209.7609761,6.100610061,Truss,1.220122012,Low
124,21,73.98739874,5.553555356,11.10711071,221.7821782,Cloudy,61.50615062,1.230123012,0.123012301,209.8409841,6.150615062,Arch,1.230123012,Low
125,26,74.18241824,5.558055806,11.11611161,222.7722772,Windy,62.00620062,1.240124012,0.124012401,209.9209921,6.200620062,Beam,1.240124012,Low
126,42,74.37743774,5.562556256,11.12511251,223.7623762,Rainy,62.50625063,1.250125013,0.125012501,210.0010001,6.250625063,Truss,1.250125013,Low
127,44,74.57245725,5.567056706,11.13411341,224.7524752,Sunny,63.00630063,1.260126013,0.126012601,210.0810081,6.300630063,Arch,1.260126013,Low
128,15,74.76747675,5.571557156,11.14311431,225.7425743,Snowy,63.50635064,1.270127013,0.127012701,210.1610161,6.350635064,Beam,1.270127013,Low
129,28,74.96249625,5.576057606,11.15211521,226.7326733,Cloudy,64.00640064,1.280128013,0.128012801,210.2410241,6.400640064,Truss,1.280128013,Low
130,8,75.15751575,5.580558056,11.16111611,227.7227723,Windy,64.50645065,1.290129013,0.129012901,210.3210321,6.450645065,Arch,1.290129013,Low
131,20,75.35253525,5.585058506,11.17011701,228.7128713,Rainy,65.00650065,1.300130013,0.130013001,210.4010401,6.500650065,Beam,1.300130013,Low
132,33,75.54755476,5.589558956,11.17911791,229.7029703,Sunny,65.50655066,1.310131013,0.131013101,210.4810481,6.550655066,Truss,1.310131013,Low
133,19,75.74257426,5.594059406,11.18811881,230.6930693,Snowy,66.00660066,1.320132013,0.132013201,210.5610561,6.600660066,Arch,1.320132013,Low
134,37,75.93759376,5.598559856,11.19711971,231.6831683,Cloudy,66.50665067,1.330133013,0.133013301,210.6410641,6.650665067,Beam,1.330133013,Low
135,12,76.13261326,5.603060306,11.20612061,232.6732673,Windy,67.00670067,1.340134013,0.134013401,210.7210721,6.700670067,Truss,1.340134013,Low
136,16,76.32763276,5.607560756,11.21512151,233.6633663,Rainy,67.50675068,1.350135014,0.135013501,210.8010801,6.750675068,Arch,1.350135014,Low
137,30,76.52265227,5.612061206,11.22412241,234.6534653,Sunny,68.00680068,1.360136014,0.136013601,210.8810881,6.800680068,Beam,1.360136014,Low
138,13,76.71767177,5.616561656,11.23312331,235.6435644,Snowy,68.50685069,1.370137014,0.137013701,210.9610961,6.850685069,Truss,1.370137014,Low
139,1,76.91269127,5.621062106,11.24212421,236.6336634,Cloudy,69.00690069,1.380138014,0.138013801,211.0411041,6.900690069,Arch,1.380138014,Low
140,3,77.10771077,5.625562556,11.25112511,237.6237624,Windy,69.5069507,1.390139014,0.139013901,211.1211121,6.95069507,Beam,1.390139014,Low
141,11,77.30273027,5.630063006,11.26012601,238.6138614,Rainy,70.0070007,1.400140014,0.140014001,211.2011201,7.00070007,Truss,1.400140014,Low
142,10,77.49774977,5.634563456,11.26912691,239.6039604,Sunny,70.50705071,1.410141014,0.141014101,211.2811281,7.050705071,Arch,1.410141014,Low
143,34,77.69276928,5.639063906,11.27812781,240.5940594,Snowy,71.00710071,1.420142014,0.142014201,211.3611361,7.100710071,Beam,1.420142014,Low
144,27,77.88778878,5.643564356,11.28712871,241.5841584,Cloudy,71.50715072,1.430143014,0.143014301,211.4411441,7.150715072,Truss,1.430143014,Low
145,24,78.08280828,5.648064806,11.29612961,242.5742574,Windy,72.00720072,1.440144014,0.144014401,211.5211521,7.200720072,Arch,1.440144014,Low
146,37,78.27782778,5.652565257,11.30513051,243.5643564,Rainy,72.50725073,1.450145015,0.145014501,211.6011601,7.250725073,Beam,1.450145015,Low
147,45,78.47284728,5.657065707,11.31413141,244.5544554,Sunny,73.00730073,1.460146015,0.146014601,211.6811681,7.300730073,Truss,1.460146015,Low
148,10,78.66786679,5.661566157,11.32313231,245.5445545,Snowy,73.50735074,1.470147015,0.147014701,211.7611761,7.350735074,Arch,1.470147015,Low
149,13,78.86288629,5.666066607,11.33213321,246.5346535,Cloudy,74.00740074,1.480148015,0.148014801,211.8411841,7.400740074,Beam,1.480148015,Low
150,45,79.05790579,5.670567057,11.34113411,247.5247525,Windy,74.50745075,1.490149015,0.149014901,211.9211921,7.450745075,Truss,1.490149015,Low
151,2,79.25292529,5.675067507,11.35013501,248.5148515,Rainy,75.00750075,1.500150015,0.150015002,212.0012001,7.500750075,Arch,1.500150015,Low
152,8,79.44794479,5.679567957,11.35913591,249.5049505,Sunny,75.50755076,1.510151015,0.151015102,212.0812081,7.550755076,Beam,1.510151015,Low
153,28,79.6429643,5.684068407,11.36813681,250.4950495,Snowy,76.00760076,1.520152015,0.152015202,212.1612161,7.600760076,Truss,1.520152015,Low
154,46,79.8379838,5.688568857,11.37713771,251.4851485,Cloudy,76.50765077,1.530153015,0.153015302,212.2412241,7.650765077,Arch,1.530153015,Low
155,15,80.0330033,5.693069307,11.38613861,252.4752475,Windy,77.00770077,1.540154015,0.154015402,212.3212321,7.700770077,Beam,1.540154015,Low
156,49,80.2280228,5.697569757,11.39513951,253.4653465,Rainy,77.50775078,1.550155016,0.155015502,212.4012401,7.750775078,Truss,1.550155016,Low
157,27,80.4230423,5.702070207,11.40414041,254.4554455,Sunny,78.00780078,1.560156016,0.156015602,212.4812481,7.800780078,Arch,1.560156016,Low
158,19,80.61806181,5.706570657,11.41314131,255.4455446,Snowy,78.50785079,1.570157016,0.157015702,212.5612561,7.850785079,Beam,1.570157016,Low
159,40,80.81308131,5.711071107,11.42214221,256.4356436,Cloudy,79.00790079,1.580158016,0.158015802,212.6412641,7.900790079,Truss,1.580158016,Low
160,48,81.00810081,5.715571557,11.43114311,257.4257426,Windy,79.5079508,1.590159016,0.159015902,212.7212721,7.95079508,Arch,1.590159016,Low
161,6,81.20312031,5.720072007,11.44014401,258.4158416,Rainy,80.0080008,1.600160016,0.160016002,212.8012801,8.00080008,Beam,1.600160016,Low
162,33,81.39813981,5.724572457,11.44914491,259.4059406,Sunny,80.50805081,1.610161016,0.161016102,212.8812881,8.050805081,Truss,1.610161016,Low
163,21,81.59315932,5.729072907,11.45814581,260.3960396,Snowy,81.00810081,1.620162016,0.162016202,212.9612961,8.100810081,Arch,1.620162016,Low
164,35,81.78817882,5.733573357,11.46714671,261.3861386,Cloudy,81.50815082,1.630163016,0.163016302,213.0413041,8.150815082,Beam,1.630163016,Low
165,31,81.98319832,5.738073807,11.47614761,262.3762376,Windy,82.00820082,1.640164016,0.164016402,213.1213121,8.200820082,Truss,1.640164016,Low
166,39,82.17821782,5.742574257,11.48514851,263.3663366,Rainy,82.50825083,1.650165017,0.165016502,213.2013201,8.250825083,Arch,1.650165017,Low
167,10,82.37323732,5.747074707,11.49414941,264.3564356,Sunny,83.00830083,1.660166017,0.166016602,213.2813281,8.300830083,Beam,1.660166017,Low
168,15,82.56825683,5.751575158,11.50315032,265.3465347,Snowy,83.50835084,1.670167017,0.167016702,213.3613361,8.350835084,Truss,1.670167017,Low
169,43,82.76327633,5.756075608,11.51215122,266.3366337,Cloudy,84.00840084,1.680168017,0.168016802,213.4413441,8.400840084,Arch,1.680168017,Low
170,34,82.95829583,5.760576058,11.52115212,267.3267327,Windy,84.50845085,1.690169017,0.169016902,213.5213521,8.450845085,Beam,1.690169017,Low
171,18,83.15331533,5.765076508,11.53015302,268.3168317,Rainy,85.00850085,1.700170017,0.170017002,213.6013601,8.500850085,Truss,1.700170017,Low
172,3,83.34833483,5.769576958,11.53915392,269.3069307,Sunny,85.50855086,1.710171017,0.171017102,213.6813681,8.550855086,Arch,1.710171017,Low
173,24,83.54335434,5.774077408,11.54815482,270.2970297,Snowy,86.00860086,1.720172017,0.172017202,213.7613761,8.600860086,Beam,1.720172017,Low
174,47,83.73837384,5.778577858,11.55715572,271.2871287,Cloudy,86.50865087,1.730173017,0.173017302,213.8413841,8.650865087,Truss,1.730173017,Low
175,24,83.93339334,5.783078308,11.56615662,272.2772277,Windy,87.00870087,1.740174017,0.174017402,213.9213921,8.700870087,Arch,1.740174017,Low
176,3,84.12841284,5.787578758,11.57515752,273.2673267,Rainy,87.50875088,1.750175018,0.175017502,214.0014001,8.750875088,Beam,1.750175018,Low
177,45,84.32343234,5.792079208,11.58415842,274.2574257,Sunny,88.00880088,1.760176018,0.176017602,214.0814081,8.800880088,Truss,1.760176018,Low
178,26,84.51845185,5.796579658,11.59315932,275.2475248,Snowy,88.50885089,1.770177018,0.177017702,214.1614161,8.850885089,Arch,1.770177018,Low
179,48,84.71347135,5.801080108,11.60216022,276.2376238,Cloudy,89.00890089,1.780178018,0.178017802,214.2414241,8.900890089,Beam,1.780178018,Low
180,22,84.90849085,5.805580558,11.61116112,277.2277228,Windy,89.5089509,1.790179018,0.179017902,214.3214321,8.95089509,Truss,1.790179018,Low
181,22,85.10351035,5.810081008,11.62016202,278.2178218,Rainy,90.0090009,1.800180018,0.180018002,214.4014401,9.00090009,Arch,1.800180018,Low
182,43,85.29852985,5.814581458,11.62916292,279.2079208,Sunny,90.50905091,1.810181018,0.181018102,214.4814481,9.050905091,Beam,1.810181018,Low
